[2022-05-09T22:46:12.091] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.093] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.095] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.097] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.103] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.106] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.110] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.112] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.114] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.118] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.120] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.124] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.126] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.128] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.130] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.135] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.154] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.157] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.159] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.161] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.163] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.167] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.170] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.173] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.176] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.178] [INFO] infoFile - { route: '/info', method: '[GET]' }
